Time,Tag_Group,Equipment,Tag_Name,Value,Quality,Source_File
2025-10-20 08:51:23.528,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:51:23.528,WeighFeeder,CVB_13A,Motor_Current,16.53,Good,WF with current data.csv
2025-10-20 08:51:24.523,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:51:24.523,WeighFeeder,CVB_109,Motor_Current,28.53,Good,WF with current data.csv
2025-10-20 08:51:24.523,WeighFeeder,CVB_13A,Motor_Current,17.2,Good,WF with current data.csv
2025-10-20 08:51:26.525,WeighFeeder,FEB_002,Load,102.75,Good,WF with current data.csv
2025-10-20 08:51:27.523,WeighFeeder,FEB_002,Load,102.19,Good,WF with current data.csv
2025-10-20 08:51:30.520,WeighFeeder,Other,Rolling_Avg,132.93,Good,WF with current data.csv
2025-10-20 08:51:40.523,WeighFeeder,Other,Rolling_Avg,133.62,Good,WF with current data.csv
2025-10-20 08:51:42.528,WeighFeeder,CVB_13A,Motor_Current,16.72,Good,WF with current data.csv
2025-10-20 08:51:42.528,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:51:42.528,WeighFeeder,CVB_109,Motor_Current,31.14,Good,WF with current data.csv
2025-10-20 08:51:43.520,WeighFeeder,CVB_13A,Motor_Current,16.66,Good,WF with current data.csv
2025-10-20 08:51:44.530,WeighFeeder,CVB_109,Motor_Current,28.35,Good,WF with current data.csv
2025-10-20 08:51:44.530,WeighFeeder,FEB_002,Load,102.73,Good,WF with current data.csv
2025-10-20 08:51:44.530,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:51:45.518,WeighFeeder,FEB_002,Load,102.76,Good,WF with current data.csv
2025-10-20 08:51:45.822,WeighFeeder,Other,Rolling_Avg,134.35,Good,WF with current data.csv
2025-10-20 08:51:45.822,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:52:00.521,WeighFeeder,Other,Rolling_Avg,133.13,Good,WF with current data.csv
2025-10-20 08:52:00.521,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:52:00.522,WeighFeeder,CVB_13A,Motor_Current,17.48,Good,WF with current data.csv
2025-10-20 08:52:00.522,WeighFeeder,CVB_109,Motor_Current,29.33,Good,WF with current data.csv
2025-10-20 08:52:01.529,WeighFeeder,CVB_13A,Motor_Current,16.71,Good,WF with current data.csv
2025-10-20 08:52:01.529,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:52:01.529,WeighFeeder,CVB_109,Motor_Current,28.45,Good,WF with current data.csv
2025-10-20 08:52:03.528,WeighFeeder,FEB_002,Load,102.13,Good,WF with current data.csv
2025-10-20 08:52:04.530,WeighFeeder,FEB_002,Load,103.14,Good,WF with current data.csv
2025-10-20 08:52:10.523,WeighFeeder,Other,Rolling_Avg,133.22,Good,WF with current data.csv
2025-10-20 08:52:15.835,WeighFeeder,Other,Other,1.0,Good,WF with current data.csv
2025-10-20 08:52:15.835,WeighFeeder,Other,Rolling_Avg,133.22,Good,WF with current data.csv
2025-10-20 08:52:19.521,WeighFeeder,CVB_109,Motor_Current,29.81,Good,WF with current data.csv
2025-10-20 08:52:19.521,WeighFeeder,CVB_13A,Motor_Current,17.6,Good,WF with current data.csv
2025-10-20 08:52:19.521,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:52:20.521,WeighFeeder,CVB_13A,Motor_Current,17.36,Good,WF with current data.csv
2025-10-20 08:52:20.521,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:52:20.521,WeighFeeder,CVB_109,Motor_Current,30.41,Good,WF with current data.csv
2025-10-20 08:52:20.521,WeighFeeder,Other,Rolling_Avg,134.23,Good,WF with current data.csv
2025-10-20 08:52:21.523,WeighFeeder,FEB_002,Load,101.97,Good,WF with current data.csv
2025-10-20 08:52:22.520,WeighFeeder,FEB_002,Load,103.6,Good,WF with current data.csv
2025-10-20 08:52:30.522,WeighFeeder,Other,Rolling_Avg,137.25,Good,WF with current data.csv
2025-10-20 08:52:37.528,WeighFeeder,CVB_13A,Motor_Current,16.66,Good,WF with current data.csv
2025-10-20 08:52:37.528,WeighFeeder,CVB_109,Motor_Current,28.97,Good,WF with current data.csv
2025-10-20 08:52:37.528,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:52:38.523,WeighFeeder,FEB_002,Belt_Speed,0.36,Good,WF with current data.csv
2025-10-20 08:52:38.523,WeighFeeder,CVB_109,Motor_Current,28.92,Good,WF with current data.csv
2025-10-20 08:52:38.523,WeighFeeder,CVB_13A,Motor_Current,17.14,Good,WF with current data.csv
2025-10-20 08:52:39.523,WeighFeeder,FEB_002,Load,102.61,Good,WF with current data.csv
2025-10-20 08:52:40.531,WeighFeeder,FEB_002,Load,103.37,Good,WF with current data.csv
